12Z 06 06 2017, 52.86, 13.59
00Z 07 06 2017, 2.57, 12.11
12Z 07 06 2017, 0.00, 26.17
00Z 08 06 2017, 12.78, 27.93
12Z 08 06 2017, 179.77, 17.31
00Z 09 06 2017, 0.00, 16.19
12Z 09 06 2017, 27.97, 20.33
00Z 10 06 2017, 0.00, 41.29
12Z 10 06 2017, 38.10, 19.41
00Z 11 06 2017, 48.41, 17.23
12Z 11 06 2017, 23.88, 17.61
00Z 12 06 2017, 0.00, 17.75
12Z 12 06 2017, 0.00, 24.27
00Z 13 06 2017, 0.00, 23.32
12Z 13 06 2017, 0.00, 22.30
00Z 14 06 2017, 1.94, 19.70
12Z 14 06 2017, 0.00, 23.71
00Z 15 06 2017, 17.69, 14.53
12Z 15 06 2017, 0.00, 29.08
00Z 16 06 2017, 6.64, 30.87
12Z 16 06 2017, 0.00, 26.27
00Z 17 06 2017, 0.00, 22.07
12Z 17 06 2017, 0.00, 19.87
00Z 18 06 2017, 0.00, 17.01
12Z 18 06 2017, 0.00, 24.05
00Z 19 06 2017, 0.00, 26.86
12Z 19 06 2017, 0.00, 28.06
00Z 20 06 2017, 0.01, 23.41
12Z 20 06 2017, 424.01, 29.00
00Z 21 06 2017, 0.00, 28.19
12Z 21 06 2017, 0.00, 24.53
00Z 22 06 2017, 0.02, 22.47
12Z 22 06 2017, 0.00, 16.55
00Z 23 06 2017, 0.00, 40.03
12Z 23 06 2017, 0.00, 30.00
00Z 24 06 2017, 0.00, 25.25
12Z 24 06 2017, 16.13, 23.09
00Z 25 06 2017, 0.30, 25.54
12Z 25 06 2017, 0.00, 27.83
00Z 26 06 2017, 0.00, 27.97
12Z 26 06 2017, 0.00, 29.60
00Z 27 06 2017, 28.95, 22.56
12Z 27 06 2017, 0.00, 14.84
00Z 28 06 2017, 9.39, 17.26
12Z 28 06 2017, 2.22, 19.01
00Z 29 06 2017, 0.12, 26.99
12Z 29 06 2017, 7.56, 21.61
00Z 30 06 2017, 5.53, 17.35
12Z 30 06 2017, 28.47, 13.63
00Z 01 07 2017, 0.37, 20.21
12Z 01 07 2017, 0.00, 33.74
00Z 02 07 2017, 0.00, 12.74
12Z 02 07 2017, 0.00, 21.17
00Z 03 07 2017, 10.24, 20.31
12Z 03 07 2017, 0.00, 33.26
00Z 04 07 2017, 28.94, 27.14
12Z 04 07 2017, 0.00, 31.68
00Z 05 07 2017, 0.00, 30.28
12Z 05 07 2017, 0.00, 26.82
00Z 06 07 2017, 0.00, 24.87
12Z 06 07 2017, 0.01, 29.15
00Z 07 07 2017, 0.00, 27.59
12Z 07 07 2017, 0.00, 27.42
00Z 08 07 2017, 0.00, 22.89
12Z 08 07 2017, 0.00, 21.69
00Z 09 07 2017, 0.99, 17.05
12Z 09 07 2017, 0.00, 25.98
00Z 10 07 2017, 0.00, 21.83
12Z 10 07 2017, 44.43, 23.93
00Z 11 07 2017, 0.00, 26.42
12Z 11 07 2017, 0.00, 27.59
00Z 12 07 2017, 0.00, 14.72
12Z 12 07 2017, 7.34, 13.91
00Z 13 07 2017, 68.42, 25.94
12Z 13 07 2017, 1.77, 17.09
00Z 14 07 2017, 0.00, 15.60
12Z 14 07 2017, 2.31, 21.41
00Z 15 07 2017, 0.00, 42.59
12Z 15 07 2017, 0.00, 31.15
00Z 16 07 2017, 0.00, 37.87
12Z 16 07 2017, 0.00, 14.42
00Z 17 07 2017, 0.00, 9.98
12Z 17 07 2017, 0.00, 12.96
00Z 18 07 2017, 0.00, 17.96
12Z 18 07 2017, 0.00, 27.92
00Z 19 07 2017, 24.74, 36.68
12Z 19 07 2017, 0.37, 29.20
00Z 20 07 2017, 2.15, 11.97
12Z 20 07 2017, 92.06, 18.45
00Z 21 07 2017, 0.80, 23.89
12Z 21 07 2017, 22.28, 23.42
00Z 22 07 2017, 77.27, 25.22
12Z 22 07 2017, 1.96, 16.39
00Z 23 07 2017, 5.16, 21.11
12Z 23 07 2017, 25.54, 20.93
00Z 24 07 2017, 0.00, 19.02
12Z 24 07 2017, 0.00, 22.92
00Z 25 07 2017, 0.00, 36.13
12Z 25 07 2017, 0.00, 34.09
00Z 26 07 2017, 0.00, 45.04
12Z 26 07 2017, 2.35, 15.52
00Z 27 07 2017, 0.00, 15.09
12Z 27 07 2017, 188.19, 18.26
00Z 28 07 2017, 21.36, 17.12
12Z 28 07 2017, 7.54, 20.04
00Z 29 07 2017, 20.72, 19.16
12Z 29 07 2017, 27.84, 20.59
00Z 30 07 2017, 41.88, 23.88
12Z 30 07 2017, 53.63, 20.64
00Z 31 07 2017, 12.41, 20.23
12Z 31 07 2017, 93.82, 19.91
00Z 01 08 2017, 52.67, 20.14
12Z 01 08 2017, 45.45, 19.01
00Z 02 08 2017, 0.00, 32.21
12Z 02 08 2017, 21.00, 18.62
00Z 03 08 2017, 6.59, 28.23
